Emission (nanometer),water Blank,EuC CPS,DyF2 CPS,DyF3 CPS,Sm F4 CPS,Tm F5 CPS,,
400,70,150,110,80,70,70,,
401,80,90,50,70,70,100,,
402,40,120,50,50,50,100,,
403,70,150,20,40,100,100,,
404,20,110,60,10,110,50,,
405,20,40,60,20,60,110,,
406,40,60,40,110,40,40,,
407,70,60,60,20,70,50,,
408,0,100,40,50,40,100,,
409,10,90,60,20,40,60,,
410,10,100,60,100,60,90,,
411,70,40,50,60,80,40,,
412,110,110,50,50,100,40,,
413,20,90,50,60,60,90,,
414,0,50,120,40,50,110,,
415,70,50,40,40,20,60,,
416,70,150,40,60,50,110,,
417,50,170,60,60,150,80,,
418,20,60,70,40,50,90,,
419,40,100,70,40,70,110,,
420,60,100,10,110,20,90,,
421,20,70,60,50,80,50,,
422,20,60,40,60,90,120,,
423,10,80,40,60,0,40,,
424,70,90,50,40,50,110,,
425,0,80,50,70,40,50,,
426,20,90,90,40,70,60,,
427,70,80,20,60,10,110,,
428,20,90,90,50,110,60,,
429,50,90,80,10,10,70,,
430,20,140,50,10,50,60,,
431,40,100,70,110,70,60,,
432,50,60,60,40,90,110,,
433,70,60,70,60,40,80,,
434,20,80,10,60,40,110,,
435,40,140,60,50,40,100,,
436,50,60,110,110,110,110,,
437,70,50,50,50,110,40,,
438,20,150,50,50,40,150,,
439,70,110,100,60,90,80,,
440,20,90,60,80,90,110,,
441,20,150,110,70,150,110,,
442,40,50,40,120,50,90,,
443,20,160,40,50,80,80,,
444,50,90,80,90,60,120,,
445,20,100,50,110,80,50,,
446,60,60,50,50,60,150,,
447,50,140,70,50,50,110,,
448,40,100,50,40,20,80,,
449,20,60,80,120,100,190,,
450,10,60,40,40,70,100,,
451,20,160,90,150,80,40,,
452,40,100,60,90,60,110,,
453,20,150,100,190,110,80,,
454,50,80,100,130,60,110,,
455,20,110,100,80,50,110,,
456,120,110,120,120,60,110,,
457,50,50,80,90,110,80,,
458,60,110,100,80,60,100,,
459,20,100,50,80,50,110,,
460,10,90,110,60,110,110,,
461,40,140,110,110,80,110,,
462,110,120,40,110,110,90,,
463,110,80,60,40,60,50,,
464,20,150,60,50,90,100,,
465,20,40,110,80,70,150,,
466,80,90,150,40,110,130,,
467,110,80,100,120,150,270,,
468,90,60,50,80,80,280,,
469,20,90,230,120,50,480,,
470,20,60,180,170,80,520,,
471,110,110,200,280,70,690,,
472,50,70,510,480,40,810,,
473,70,80,1290,1480,110,1290,,
474,60,90,1950,2030,90,1510,,
475,60,40,1040,1180,60,1760,,
476,60,150,1130,1200,40,1550,,
477,40,50,1530,1930,90,1290,,
478,110,90,1590,1650,50,850,,
479,40,40,1870,2190,40,600,,
480,70,90,2520,2910,70,620,,
481,0,50,3200,3210,50,550,,
482,60,90,2630,3270,40,320,,
483,50,120,3190,3800,20,290,,
484,20,60,3800,4130,50,180,,
485,50,90,2360,2790,50,150,,
486,40,100,1220,1170,90,150,,
487,80,100,690,870,70,200,,
488,50,90,660,790,60,120,,
489,40,60,370,360,60,40,,
490,20,80,340,330,50,50,,
491,40,190,310,200,110,40,,
492,50,110,250,170,100,90,,
493,10,110,140,250,80,40,,
494,110,40,180,80,40,110,,
495,10,100,120,80,80,80,,
496,20,70,100,80,80,50,,
497,40,60,90,100,60,50,,
498,60,50,90,80,70,130,,
499,20,70,100,90,60,150,,
500,10,80,150,130,90,110,,
501,20,110,60,150,40,90,,
502,60,150,60,110,80,100,,
503,90,70,150,50,80,90,,
504,50,100,70,140,80,70,,
505,10,50,110,90,90,60,,
506,50,130,100,110,60,60,,
507,60,40,70,80,50,40,,
508,10,60,50,110,60,50,,
509,40,50,100,80,110,110,,
510,40,100,10,50,60,120,,
511,60,90,50,80,110,100,,
512,70,60,80,80,90,80,,
513,70,50,70,60,40,80,,
514,20,90,40,50,70,110,,
515,70,100,50,40,60,110,,
516,20,110,60,20,60,90,,
517,40,90,50,90,50,50,,
518,50,110,50,60,50,50,,
519,40,40,40,80,10,150,,
520,50,40,80,60,130,40,,
521,20,50,50,80,50,40,,
522,50,60,50,50,60,110,,
523,110,110,60,50,60,110,,
524,60,150,100,20,50,50,,
525,0,80,60,70,100,110,,
526,10,40,110,60,50,50,,
527,50,110,150,150,90,140,,
528,110,70,50,60,110,90,,
529,60,40,50,90,50,80,,
530,70,90,50,60,60,70,,
531,70,90,60,80,150,110,,
532,40,150,110,90,110,110,,
533,50,80,70,100,70,50,,
534,70,190,10,80,60,60,,
535,70,180,60,80,40,60,,
536,50,220,110,110,60,60,,
537,20,580,110,50,40,110,,
538,50,860,130,80,40,60,,
539,40,390,70,150,50,60,,
540,50,140,90,60,20,80,,
541,10,80,70,100,50,100,,
542,110,90,20,80,60,20,,
543,40,80,70,90,80,110,,
544,10,90,20,60,20,40,,
545,80,150,70,60,20,40,,
546,40,70,70,40,50,110,,
547,50,90,10,80,80,20,,
548,70,40,70,40,90,40,,
549,80,110,60,100,70,60,,
550,40,130,50,90,110,40,,
551,50,70,40,50,110,80,,
552,70,80,50,20,60,50,,
553,40,100,110,70,20,40,,
554,60,60,50,50,40,70,,
555,60,170,80,50,100,50,,
556,40,130,100,60,130,50,,
557,40,60,110,110,130,60,,
558,0,90,170,100,200,110,,
559,60,120,80,80,190,60,,
560,50,80,60,190,350,60,,
561,20,160,160,90,340,60,,
562,50,190,120,210,520,40,,
563,60,140,140,230,510,20,,
564,40,100,180,330,600,110,,
565,100,60,420,670,560,40,,
566,60,90,940,1000,430,80,,
567,10,90,1220,1620,510,80,,
568,110,50,1400,1530,520,50,,
569,150,80,1410,1910,440,110,,
570,0,80,2420,2590,200,70,,
571,50,90,5190,5690,150,110,,
572,70,40,7180,8410,90,150,,
573,70,100,7020,7850,130,100,,
574,50,100,8990,9720,230,60,,
575,20,100,7400,8770,150,150,,
576,70,120,2960,3740,80,60,,
577,40,150,3310,3600,130,120,,
578,10,120,2980,3650,90,50,,
579,50,170,1610,1680,60,150,,
580,70,240,770,1110,100,80,,
581,10,200,740,920,130,80,,
582,80,270,770,780,220,110,,
583,40,330,650,990,220,180,,
584,120,2190,2370,2740,2270,1760,,
585,430,19280,17660,21870,19170,16000,,
586,1130,46970,45430,50890,45630,36750,,
587,1430,52250,46750,54180,49040,40850,,
588,990,26900,25560,29730,26710,22310,,
589,250,6860,6480,7610,6540,5260,,
590,50,1570,710,720,700,420,,
591,40,1330,240,360,490,140,,
592,80,2780,130,200,670,120,,
593,70,8110,130,150,400,60,,
594,20,10930,90,140,580,110,,
595,40,6470,140,110,450,60,,
596,40,1670,80,110,580,60,,
597,50,1080,80,150,820,110,,
598,10,670,110,150,900,50,,
599,60,570,100,120,590,80,,
600,40,640,150,160,1020,60,,
601,110,360,90,210,2370,70,,
602,40,420,150,190,2420,90,,
603,60,540,150,90,2350,60,,
604,20,680,150,130,1620,50,,
605,50,700,80,230,1610,100,,
606,70,730,80,80,2030,70,,
607,50,1090,80,80,1590,80,,
608,40,3090,150,110,860,110,,
609,10,9110,100,80,480,110,,
610,90,6130,60,80,470,60,,
611,40,4120,80,40,360,110,,
612,60,5770,40,50,280,40,,
613,40,8850,20,80,210,20,,
614,40,26700,110,190,220,10,,
615,40,72470,110,120,160,80,,
616,70,24560,50,40,140,40,,
617,10,12310,40,70,140,40,,
618,40,33580,50,20,100,50,,
619,20,67260,90,40,140,80,,
620,10,21670,60,50,150,20,,
621,40,7720,110,110,80,50,,
622,10,4720,20,70,40,40,,
623,40,3460,70,40,140,80,,
624,50,3300,10,40,60,110,,
625,60,2950,70,70,50,40,,
626,70,2490,20,50,80,80,,
627,70,1980,60,50,70,110,,
628,20,1640,10,80,60,10,,
629,70,1990,80,90,50,70,,
630,80,1280,60,10,40,100,,
631,20,940,40,70,150,40,,
632,70,770,10,110,80,70,,
633,70,700,70,20,100,50,,
634,70,620,80,60,130,90,,
635,10,560,20,70,200,90,,
636,70,460,80,50,270,100,,
637,20,480,50,110,240,110,,
638,70,280,40,70,340,40,,
639,50,270,20,20,470,70,,
640,70,210,50,40,530,100,,
641,50,140,40,40,660,60,,
642,40,260,110,80,660,100,,
643,50,220,70,110,1320,50,,
644,20,250,10,20,1470,150,,
645,40,200,50,60,1510,80,,
646,60,390,90,50,1960,150,,
647,60,700,50,110,1960,140,,
648,40,1330,150,90,1460,200,,
649,70,1190,80,150,950,110,,
650,40,1060,80,160,740,100,,
651,40,1280,90,40,710,100,,
652,80,1630,110,170,630,50,,
653,0,1010,130,100,760,80,,
654,40,840,100,80,880,80,,
655,90,450,190,100,1630,150,,
656,40,640,140,220,1130,60,,
657,20,400,180,230,520,50,,
658,110,300,160,90,320,40,,
659,70,250,160,120,250,100,,
660,20,190,200,230,210,100,,
661,40,190,230,230,140,110,,
662,50,140,190,250,230,110,,
663,40,170,240,340,90,110,,
664,10,190,190,230,130,50,,
665,10,160,190,200,60,50,,
666,10,100,190,220,90,60,,
667,70,90,230,210,130,70,,
668,70,140,130,130,110,20,,
669,10,110,120,180,100,40,,
670,70,90,50,40,110,10,,
671,10,60,50,60,90,110,,
672,20,90,50,40,70,40,,
673,20,110,50,60,70,100,,
674,50,40,40,40,80,50,,
675,50,80,50,60,70,60,,
676,20,80,40,40,190,60,,
677,50,40,110,100,60,20,,
678,20,60,10,50,80,50,,
679,10,150,20,70,60,80,,
680,40,130,70,60,100,20,,
681,70,60,40,50,110,20,,
682,70,40,20,10,70,50,,
683,20,150,50,40,60,60,,
684,20,90,90,40,20,20,,
685,20,150,110,40,80,40,,
686,40,110,10,20,50,40,,
687,70,110,40,50,40,70,,
688,50,210,20,80,50,40,,
689,10,230,20,50,40,50,,
690,0,270,20,50,60,40,,
691,0,300,70,60,60,20,,
692,70,390,80,50,40,40,,
693,70,490,70,50,70,50,,
694,0,750,110,40,60,70,,
695,70,890,10,40,50,60,,
696,10,1790,40,60,40,70,,
697,40,3860,110,10,160,20,,
698,40,15570,20,110,60,110,,
699,70,11420,50,40,120,20,,
700,10,2690,10,50,190,70,,
701,70,1390,110,50,90,70,,
702,70,1000,40,60,50,20,,
703,20,2250,70,40,200,0,,
704,10,6460,60,70,230,40,,
705,70,4970,60,50,130,50,,
706,10,1420,60,90,230,50,,
707,0,360,50,40,150,70,,
708,90,300,40,50,270,20,,
709,60,170,10,10,210,40,,
710,50,160,50,50,60,10,,
711,40,200,50,60,120,20,,
712,40,200,20,70,170,110,,
713,120,100,20,50,170,10,,
714,20,100,10,70,270,60,,
715,70,110,110,50,190,70,,
716,20,100,20,50,210,70,,
717,40,90,70,70,130,20,,
718,60,90,50,20,60,40,,
719,70,80,40,110,110,70,,
720,110,60,10,40,80,70,,
721,70,110,40,40,50,70,,
722,10,20,40,70,40,60,,
723,20,70,50,70,50,70,,
724,40,40,20,40,80,20,,
725,10,110,40,50,50,40,,
726,40,40,20,60,60,50,,
727,40,50,50,20,110,10,,
728,110,60,70,40,70,10,,
729,70,50,50,70,20,10,,
730,70,20,10,60,50,40,,
731,0,70,20,20,70,40,,
732,10,10,20,80,70,100,,
733,70,70,40,70,20,50,,
734,50,70,80,40,50,10,,
735,20,20,50,20,80,20,,
736,20,40,40,20,70,20,,
737,20,110,40,40,50,110,,
738,70,60,40,110,10,90,,
739,50,50,40,10,20,20,,
740,0,60,10,40,40,20,,
741,10,70,40,70,50,90,,
742,10,40,10,40,20,70,,
743,20,90,50,70,40,70,,
744,20,50,50,120,10,80,,
745,70,70,80,90,10,60,,
746,10,40,190,90,80,50,,
747,40,70,130,40,60,70,,
748,10,60,110,50,70,110,,
749,40,70,80,120,110,40,,
750,70,70,20,10,80,50,,
751,10,60,100,150,40,70,,
752,40,110,110,120,50,70,,
753,10,50,90,120,40,70,,
754,40,40,110,90,40,50,,
755,20,70,60,70,40,60,,
756,10,50,110,10,40,60,,
757,40,40,60,130,40,60,,
758,20,110,100,120,50,90,,
759,20,70,80,120,10,70,,
760,20,20,60,80,80,70,,
761,40,70,20,50,110,70,,
762,70,80,90,110,40,70,,
763,40,90,70,60,40,40,,
764,20,50,110,40,70,90,,
765,10,20,50,20,70,110,,
766,70,70,40,60,60,50,,
767,60,40,110,60,20,100,,
768,60,70,80,50,50,70,,
769,0,10,40,40,70,20,,
770,40,40,60,80,70,60,,
771,50,10,50,70,20,10,,
772,0,70,60,80,60,50,,
773,50,110,50,50,20,20,,
774,40,70,50,70,60,40,,
775,10,70,70,10,110,40,,
776,20,10,20,20,110,50,,
777,10,10,70,10,40,90,,
778,10,70,50,40,40,80,,
779,20,40,60,50,70,70,,
780,70,90,60,10,60,50,,
781,70,70,70,10,60,90,,
782,0,0,70,10,60,60,,
783,20,10,70,50,50,110,,
784,0,20,70,40,70,50,,
785,70,0,10,60,40,60,,
786,60,40,110,40,110,40,,
787,20,10,20,10,70,80,,
788,0,10,40,60,20,170,,
789,10,60,20,70,50,110,,
790,70,70,50,70,10,100,,
791,10,50,50,50,70,40,,
792,10,20,40,40,40,50,,
793,70,70,40,60,50,60,,
794,70,110,50,40,70,80,,
795,50,40,50,20,10,40,,
796,40,70,50,60,150,20,,
797,10,40,50,40,40,50,,
798,20,50,10,20,0,110,,
799,40,50,20,40,40,20,,
800,70,20,20,70,60,110,,